title,genre,rating,overview
Avatar,Action Adventure Fantasy,7.9,"A marine travels to Pandora and fights to protect its people."
Titanic,Romance Drama,7.8,"A love story unfolds aboard the Titanic."
The Dark Knight,Action Crime,9.0,"Batman faces the Joker in Gotham City."
Inception,Sci-Fi Thriller,8.8,"A thief enters dreams to steal secrets."
Interstellar,Sci-Fi Adventure,8.7,"Astronauts travel through a wormhole to save humanity."
Finding Nemo,Animation Family,8.2,"A clownfish searches for his missing son."
Toy Story,Animation Comedy,8.3,"Toys come alive when humans are away."
Frozen,Animation Fantasy,7.4,"Two sisters save their kingdom using magical powers."
Iron Man,Action Sci-Fi,7.9,"A billionaire builds a powerful armored suit."
The Avengers,Action Adventure,8.0,"Superheroes unite to save Earth."
Doctor Strange,Action Fantasy,7.5,"A surgeon becomes a master of mystic arts."
Black Panther,Action Adventure,7.3,"The king of Wakanda protects his nation."
Thor,Action Fantasy,7.0,"The God of Thunder protects Asgard."
Captain America,Action Adventure,7.8,"A super soldier fights for justice."
Spider-Man Homecoming,Action Adventure,7.4,"A teenager balances school and superhero life."
Hulk,Action Sci-Fi,6.7,"A scientist transforms into a giant green monster."
Shrek,Animation Comedy,7.9,"An ogre rescues a princess."
Cars,Animation Family,7.2,"A racing car discovers friendship."
Up,Animation Adventure,8.3,"An old man flies his house with balloons."
Coco,Animation Family,8.4,"A boy discovers his family's musical history."